provider_id,provider_name,contract_date,risk_score,price_per_mwh
P0149,Fusion Dynamics Systems,2024-10-03,60,82.2
P0150,Pioneer Flux Group,2024-09-16,27,61.44
P0151,Quantum Grid Solutions,2024-12-09,52,56.82
P0152,Symphony Grid Services,2024-12-18,54,80.95
P0153,Eclipse Holdings Inc.,2024-12-22,85,46.81
P0154,Sunrise Current Ventures,2024-11-09,16,74.89
P0155,Fusion Technologies Dynamics,2024-06-25,23,59.74
P0156,Quantum Solutions Global,2024-07-06,56,59.41
P0157,Vertex Holdings Enterprises,2025-06-09,25,34.07
P0158,Zenith Charge Technologies,2024-12-06,72,46.3
P0159,Fusion Solutions Works,2025-02-25,62,45.46
P0160,Eclipse Services Global,2025-01-30,17,40.92
P0161,Pioneer Capacitors Partners,2024-09-19,81,57.3
P0162,Vertex Grid Innovations,2024-07-04,16,90.28
P0163,Nova Services Resources,2024-10-16,58,45.22
P0164,Vanguard Innovations Group,2025-05-16,15,32.83
P0165,Zenith Power Enterprises,2024-07-17,4,56.65
P0166,Radiant Flux Corp.,2024-11-12,70,73.09
P0167,Fusion Flux Innovations,2025-01-15,33,31.65
P0168,Momentum Industries Services,2024-07-16,54,73.75
P0169,Eco Grid Systems,2025-05-17,51,55.8
P0170,Fusion Innovations Works,2024-09-05,13,60.58
P0171,Horizon Flux LLC,2025-06-02,64,47.72
P0172,Eclipse Technologies Resources,2024-07-21,73,55.71
P0173,Catalyst Current Solutions,2024-06-20,57,58.63
P0174,Catalyst Systems Partners,2024-12-03,85,77.95
P0175,Zenith Dynamics Ventures,2025-05-21,14,81.69
P0176,Vanguard Systems Services,2025-05-29,27,88.15
P0177,Catalyst Current Ventures,2024-11-09,48,45.82
P0178,Quantum Networks Co.,2024-12-25,40,37.8
P0179,Horizon Wave Solutions,2025-04-12,81,41.75
P0180,Lumina Flux Solutions,2024-12-08,25,80.66
P0181,Quantum Current Works,2025-03-11,19,78.9
P0182,Apex Solutions Partners,2025-03-30,94,75.84
P0183,Symphony Grid Group,2024-09-09,85,57.4
P0184,Terra Networks Holdings,2024-10-08,92,31.77
P0185,Momentum Solutions LLC,2025-02-07,19,59.12
P0186,Fusion Capacitors Corp.,2024-12-19,76,96.6
P0187,Catalyst Dynamics Group,2024-11-10,66,88.76
P0188,Lumina Resources LLC,2024-07-20,68,59.95
P0189,Vanguard Wave Works,2024-06-21,56,31.13
P0190,Terra Volt Solutions,2024-12-17,57,57.16
P0191,Nova Industries Services,2025-02-15,32,95.51
P0192,Summit Networks Partners,2025-05-07,53,56.2
P0193,Lumina Power Dynamics,2025-06-01,87,59.09
P0194,Catalyst Systems Discoveries,2025-02-27,85,57.29
P0195,Apex Concepts Services,2024-06-18,3,70.43
P0196,Symphony Solutions Partners,2024-06-24,9,87.66
P0197,Fusion Concepts Ventures,2024-10-09,57,83.06
P0198,Radiant Innovations Resources,2024-09-14,93,99.45
P0199,Sunrise Resources Enterprises,2024-06-18,47,92.23
P0200,Vertex Charge Ventures,2025-01-21,13,60.35
P0201,Radiant Enterprises Enterprises,2025-05-17,13,70.91
P0202,Eco Concepts Systems,2025-01-23,91,84.33
P0203,Terra Resources Services,2024-12-05,50,39.61
P0204,Eco Systems Corp.,2025-03-06,75,39.84
P0205,Horizon Charge Discoveries,2024-07-24,10,44.02
P0206,Eclipse Resources Group,2025-05-28,34,30.14
P0207,Elemental Innovations Co.,2025-03-14,91,76.9
P0208,Apex Networks Corp.,2024-11-15,44,93.13
P0209,Lumina Systems Services,2025-01-23,4,56.59
P0210,Quantum Resources Works,2024-09-16,80,48.79
P0211,Sunrise Dynamics Holdings,2025-05-01,67,86.06
P0212,Sunrise Technologies Works,2024-12-14,57,40.01
P0213,Summit Current Dynamics,2024-11-20,78,83.58
P0214,Vanguard Charge Co.,2024-06-22,70,77.11
P0215,Zenith Systems Inc.,2025-06-07,66,35.15
P0216,Eclipse Current Ventures,2025-03-16,37,91.92
P0217,Vertex Technologies Dynamics,2024-08-21,44,95.55
P0218,Summit Technologies Systems,2024-08-02,55,75.84
P0219,Vanguard Technologies Co.,2024-12-20,99,49.2
P0220,Eco Industries Enterprises,2025-02-07,31,36.64
P0221,Fusion Solutions Corp.,2025-03-06,37,66.05
P0222,Eco Enterprises Ventures,2024-09-26,52,70.27
P0223,Apex Power Holdings,2025-01-04,26,96.61
P0224,Sunrise Industries Innovations,2025-03-29,47,33.12
P0225,Lumina Concepts Innovations,2025-02-13,70,78.91
P0226,Elemental Volt Co.,2025-01-11,64,89.53
P0227,Horizon Wave Ventures,2024-10-06,59,44.43
P0228,Vanguard Volt Discoveries,2025-05-03,24,57.22
P0229,Vertex Power Systems,2025-02-02,83,42.29
P0230,Fusion Charge Corp.,2024-11-01,20,75.99
P0231,Summit Solutions Technologies,2024-11-10,79,49.2
P0232,Nova Charge Inc.,2025-02-05,74,82.4
P0233,Sunrise Grid Corp.,2024-11-26,33,31.0
P0234,Eclipse Services Discoveries,2024-10-28,94,83.59
P0235,Radiant Industries Technologies,2024-08-01,16,61.36
P0236,Symphony Volt Co.,2024-10-07,19,47.48
P0237,Nova Services International,2025-02-26,82,97.43
P0238,Zenith Resources Enterprises,2025-04-16,10,68.58
P0239,Horizon Solutions Works,2024-10-31,97,66.49
P0240,Vanguard Volt International,2024-08-12,25,61.32
P0241,Apex Resources LLC,2025-05-17,64,85.81
P0242,Catalyst Resources Global,2025-05-19,72,60.92
P0243,Nova Wave Inc.,2025-01-27,87,85.96
P0244,Zenith Volt Systems,2024-10-15,78,71.02
P0245,Zenith Concepts Services,2025-03-20,41,63.18
P0246,Radiant Technologies Solutions,2025-01-25,95,59.28
P0247,Elemental Concepts LLC,2024-10-04,68,57.65
P0248,Lumina Current Global,2025-05-06,59,97.12
P0249,Pioneer Wave Corp.,2024-09-25,51,50.26
P0250,Summit Charge LLC,2025-04-11,95,50.8
P0251,Horizon Dynamics Discoveries,2025-04-09,68,53.99
P0252,Elemental Power Dynamics,2025-02-22,40,72.52
P0253,Eco Capacitors Discoveries,2024-08-23,62,71.2
P0254,Quantum Concepts Discoveries,2025-05-05,80,45.69
P0255,Terra Industries LLC,2025-04-19,34,73.37
P0256,Zenith Solutions Dynamics,2024-07-14,43,37.2
P0257,Terra Systems Partners,2024-07-05,74,58.13
P0258,Momentum Concepts International,2025-04-24,68,91.08
P0259,Pioneer Power Dynamics,2024-09-29,94,70.49
P0260,Lumina Capacitors Systems,2025-04-13,98,89.29
P0261,Terra Enterprises Works,2024-11-19,14,37.67
P0262,Pioneer Innovations Holdings,2024-06-28,44,34.13
P0263,Fusion Grid Discoveries,2024-08-20,70,58.35
P0264,Terra Networks LLC,2025-01-26,36,78.35
P0265,Quantum Power Technologies,2024-12-03,20,39.79
P0266,Eclipse Dynamics Global,2025-01-27,99,67.35
P0267,Fusion Dynamics Solutions,2025-03-25,25,32.43
P0268,Vertex Technologies Enterprises,2024-10-13,44,35.34
P0269,Horizon Holdings Ventures,2024-11-10,72,36.23
P0270,Pioneer Networks Resources,2024-09-29,20,50.49
P0271,Lumina Industries Technologies,2024-11-14,89,47.73
P0272,Sunrise Concepts Enterprises,2024-06-20,63,72.18
P0273,Radiant Grid Global,2025-02-09,65,92.62
P0274,Apex Power International,2024-06-30,47,66.67
P0275,Apex Innovations LLC,2024-10-20,46,84.52
P0276,Eco Systems Works,2025-04-07,58,61.26
P0277,Summit Holdings Group,2025-06-04,16,91.25
P0278,Summit Services Systems,2024-08-21,47,59.75
P0279,Lumina Charge Corp.,2024-08-15,100,87.08
P0280,Quantum Resources Systems,2024-09-07,44,41.23
P0281,Catalyst Innovations Holdings,2025-03-30,22,77.15
P0282,Fusion Technologies Global,2024-08-09,77,60.01
P0283,Pioneer Holdings LLC,2024-10-28,40,40.65
P0284,Pioneer Grid Works,2025-01-06,77,76.98
P0285,Horizon Technologies Partners,2025-05-21,13,45.65
P0286,Zenith Grid Holdings,2025-04-06,33,70.61
P0287,Nova Flux Inc.,2024-06-16,17,37.36
P0288,Elemental Volt Enterprises,2024-07-04,30,47.33
P0289,Nova Services Technologies,2024-06-15,28,41.23
P0290,Vanguard Enterprises Ventures,2025-04-11,24,73.72
P0291,Nova Industries Systems,2025-02-18,47,65.95
P0292,Vertex Wave Works,2024-10-28,71,83.72
P0293,Momentum Services LLC,2025-05-10,99,82.12
P0294,Eclipse Wave Technologies,2025-05-03,30,46.96
P0295,Eclipse Flux Ventures,2024-10-01,76,93.94
P0296,Eco Wave Inc.,2025-01-09,48,62.37
P0297,Horizon Capacitors Resources,2024-08-03,35,67.62
P0298,Zenith Wave Global,2024-07-31,54,47.12
P0299,Momentum Current International,2024-11-16,63,47.13
P0300,Eco Holdings Global,2024-10-21,55,86.37
P0301,Eco Concepts Discoveries,2024-08-07,44,82.95
P0302,Apex Power Enterprises,2024-06-30,35,99.98
P0303,Radiant Power LLC,2024-10-09,87,71.95
P0304,Apex Systems Technologies,2025-02-27,84,49.17
P0305,Radiant Systems Partners,2024-12-08,66,36.06
P0306,Pioneer Current Co.,2024-10-17,72,36.85
P0307,Summit Innovations Corp.,2025-02-21,79,99.22
P0308,Eclipse Technologies Services,2024-10-16,91,62.85
P0309,Fusion Industries Systems,2024-06-29,45,67.84
P0310,Fusion Capacitors LLC,2024-08-18,95,41.91
P0311,Sunrise Services Works,2025-01-15,37,44.83
P0312,Terra Wave Ventures,2024-07-31,88,63.75
P0313,Pioneer Industries Global,2024-09-14,81,74.08
P0314,Eco Innovations Holdings,2024-07-24,99,78.81
P0315,Zenith Resources Discoveries,2024-10-15,18,87.98
P0316,Horizon Charge Resources,2025-02-13,38,33.42
P0317,Radiant Wave Ventures,2024-09-30,14,86.29
P0318,Catalyst Innovations Systems,2025-02-04,72,70.53
P0319,Radiant Resources Dynamics,2024-11-02,13,75.91
P0320,Symphony Concepts Corp.,2025-02-12,27,57.82
P0321,Lumina Grid Resources,2024-09-19,68,64.85
P0322,Vanguard Dynamics Global,2024-08-11,97,40.93
P0323,Symphony Dynamics LLC,2024-08-01,42,54.28
P0324,Terra Systems Holdings,2024-08-02,71,36.81
P0325,Sunrise Innovations Solutions,2025-03-04,69,58.18
P0326,Catalyst Systems Enterprises,2024-06-16,91,80.34
P0327,Horizon Holdings Resources,2024-12-04,2,84.96
P0328,Zenith Systems Holdings,2024-09-22,77,35.82
P0329,Summit Systems Holdings,2025-05-11,49,97.32
P0330,Symphony Solutions Innovations,2024-08-03,23,50.1
P0331,Eclipse Technologies Technologies,2024-06-27,8,99.25
P0332,Lumina Volt Corp.,2024-11-04,16,76.03
P0333,Sunrise Current Corp.,2024-11-22,53,51.47
P0334,Radiant Industries Inc.,2024-08-03,100,86.91
P0335,Eco Services Solutions,2025-03-04,62,72.31
P0336,Horizon Resources Holdings,2025-02-20,6,37.65
P0337,Catalyst Technologies Services,2025-03-22,73,50.15
P0338,Summit Current Works,2025-02-09,7,90.28
P0339,Apex Resources Corp.,2025-05-24,51,51.57
P0340,Horizon Solutions Systems,2024-11-30,73,37.97
P0341,Quantum Current International,2025-04-09,36,53.45
P0342,Terra Wave Co.,2024-12-22,50,88.72
P0343,Symphony Enterprises LLC,2025-06-08,57,84.44
P0344,Zenith Networks Holdings,2024-08-24,1,88.82
P0345,Eclipse Grid Inc.,2024-12-30,44,97.86
P0346,Catalyst Charge Technologies,2025-05-12,13,77.48
P0347,Quantum Systems Systems,2025-06-05,18,74.77
P0348,Lumina Holdings Ventures,2025-01-15,52,46.93
P0349,Summit Networks Works,2025-05-19,3,92.85
P0350,Eco Grid Group,2025-01-25,40,64.18
P0351,Zenith Holdings Innovations,2024-11-29,84,82.8
P0352,Vertex Enterprises Enterprises,2024-08-08,47,97.07
P0353,Apex Enterprises Systems,2025-04-04,39,53.06
P0354,Eco Grid Works,2024-07-25,34,96.37
P0355,Radiant Volt Inc.,2024-11-27,94,51.43
P0356,Summit Concepts Works,2024-08-17,25,38.89
P0357,Lumina Wave Works,2025-05-08,77,48.78
P0358,Nova Current Enterprises,2024-12-17,78,67.82
P0359,Vertex Services Dynamics,2025-01-27,35,63.23
P0360,Radiant Systems Holdings,2025-02-23,72,42.52
P0361,Pioneer Networks LLC,2024-12-25,53,79.01
P0362,Nova Systems Technologies,2025-04-16,93,48.98
P0363,Nova Enterprises International,2025-03-07,93,82.36
P0364,Apex Innovations Works,2024-06-15,49,62.92
P0365,Horizon Networks LLC,2025-04-19,86,74.11
P0366,Catalyst Concepts International,2025-05-22,88,94.86
P0367,Radiant Holdings Enterprises,2025-05-22,4,76.93
P0368,Pioneer Capacitors Innovations,2025-02-19,89,30.65
P0369,Pioneer Technologies Works,2025-02-06,44,98.37
P0370,Nova Concepts Technologies,2025-03-20,36,90.87
P0371,Nova Resources Works,2024-10-03,85,32.32
P0372,Horizon Dynamics Enterprises,2024-12-26,6,50.54
P0373,Fusion Current Partners,2025-04-15,43,56.93
P0374,Zenith Networks Solutions,2024-12-08,30,68.15
P0375,Vertex Wave Enterprises,2024-08-02,65,35.0
P0376,Symphony Networks Holdings,2024-06-15,84,93.21
P0377,Vanguard Capacitors Services,2024-09-04,91,47.02
P0378,Apex Volt Innovations,2025-06-14,87,49.82
P0379,Terra Wave Resources,2024-10-23,6,57.48
P0380,Eclipse Flux International,2024-09-18,93,44.37
P0381,Nova Volt Holdings,2024-11-03,84,88.27
P0382,Apex Technologies Partners,2025-02-20,57,79.1
P0383,Quantum Networks Innovations,2025-03-19,85,49.65
P0384,Momentum Systems LLC,2024-09-04,33,56.42
P0385,Sunrise Flux Works,2024-12-05,48,41.05
P0386,Fusion Services Technologies,2024-12-03,16,51.71
P0387,Eclipse Services Technologies,2024-10-13,38,75.5
P0388,Sunrise Technologies Ventures,2024-12-07,25,45.35
P0389,Summit Charge Works,2024-10-07,76,78.79
P0390,Symphony Power Services,2025-06-02,79,53.77
P0391,Sunrise Services Ventures,2024-09-27,8,78.36
P0392,Quantum Holdings Services,2024-07-28,29,90.02
P0393,Symphony Solutions Global,2024-11-29,91,48.16
P0394,Sunrise Volt Discoveries,2025-05-14,83,39.75
P0395,Momentum Wave Discoveries,2024-09-04,83,69.37
P0396,Lumina Concepts International,2025-05-29,68,35.76
P0397,Fusion Volt Discoveries,2025-05-03,44,57.06
P0398,Sunrise Services Corp.,2025-04-30,59,86.68
P0399,Elemental Industries International,2025-05-24,99,37.42
P0400,Elemental Innovations Works,2025-01-23,64,69.48
P0401,Horizon Capacitors LLC,2024-08-09,95,42.31
P0402,Eclipse Charge Discoveries,2025-03-11,75,98.27
P0403,Vertex Power Solutions,2024-06-17,96,57.98
P0404,Momentum Resources Holdings,2025-01-28,25,68.97
P0405,Summit Charge Global,2025-06-02,61,53.67
P0406,Elemental Innovations Technologies,2024-11-03,30,38.75
P0407,Lumina Current Dynamics,2025-05-28,80,38.87
P0408,Radiant Volt Innovations,2024-08-18,40,98.69
P0409,Apex Systems Partners,2025-03-20,37,64.33
P0410,Elemental Capacitors Co.,2025-06-09,74,66.36
P0411,Eclipse Wave Co.,2024-08-01,30,68.67
P0412,Lumina Current Holdings,2025-03-04,7,85.0
P0413,Momentum Technologies Partners,2025-04-02,50,42.76
P0414,Sunrise Systems Resources,2024-08-20,24,44.05
P0415,Zenith Enterprises Services,2024-07-05,69,59.89
P0416,Eco Concepts Enterprises,2024-06-16,8,34.37
P0417,Symphony Volt Services,2024-10-26,16,98.15
P0418,Catalyst Grid Resources,2025-04-09,34,71.92
P0419,Eco Technologies Systems,2025-03-28,47,56.05
P0420,Symphony Resources LLC,2024-11-14,60,82.35
P0421,Pioneer Concepts Holdings,2025-05-13,5,32.82
P0422,Fusion Dynamics Services,2025-04-28,57,82.15
P0423,Apex Systems Discoveries,2024-08-13,7,70.16
P0424,Terra Grid Ventures,2024-12-14,28,55.31
P0425,Catalyst Power Innovations,2024-10-20,23,63.03
P0426,Sunrise Capacitors Solutions,2025-06-12,46,64.99
P0427,Horizon Technologies LLC,2024-08-13,90,99.29
P0428,Eclipse Dynamics Innovations,2025-05-22,2,35.95
P0429,Catalyst Industries Dynamics,2025-01-12,91,39.12
P0430,Momentum Current Works,2025-04-07,60,50.0
P0431,Pioneer Current Works,2024-11-14,88,95.02
P0432,Radiant Volt LLC,2025-06-02,23,42.12
P0433,Nova Volt Resources,2024-06-30,47,74.24
P0434,Apex Current Enterprises,2024-10-06,23,40.47
P0435,Horizon Solutions Dynamics,2025-05-12,23,30.27
P0436,Eco Grid Co.,2024-11-13,83,65.0
P0437,Zenith Networks Works,2025-06-01,22,35.19
P0438,Lumina Resources Co.,2024-07-07,52,34.1
P0439,Momentum Volt Enterprises,2024-11-10,9,40.79
P0440,Terra Innovations Solutions,2025-04-06,14,54.17
P0441,Lumina Grid Corp.,2025-04-09,22,85.89
P0442,Fusion Grid Co.,2025-02-22,74,74.51
P0443,Horizon Power LLC,2025-03-28,99,51.12
P0444,Quantum Technologies LLC,2024-10-04,13,76.54
P0445,Sunrise Charge Group,2024-08-29,33,74.03
P0446,Zenith Grid Technologies,2024-11-28,21,55.53
P0447,Elemental Enterprises Works,2025-05-30,24,36.82
P0448,Vertex Industries Resources,2024-09-22,84,64.01
P0449,Zenith Charge Discoveries,2025-01-19,85,53.65
P0450,Pioneer Technologies Services,2024-12-09,3,67.89
P0451,Radiant Technologies Dynamics,2024-07-14,24,32.28
P0452,Lumina Holdings Partners,2025-02-14,63,54.11
P0453,Symphony Holdings Works,2025-04-01,89,50.09
P0454,Elemental Innovations Group,2025-06-08,55,37.15
P0455,Vanguard Wave Partners,2024-07-25,14,58.38
P0456,Vanguard Services Services,2025-05-04,67,42.52
P0457,Terra Concepts International,2025-04-24,79,89.48
P0458,Eclipse Grid Solutions,2024-09-28,71,69.88
P0459,Fusion Networks Co.,2024-06-22,52,79.4
P0460,Pioneer Flux Inc.,2024-07-31,81,86.08
P0461,Summit Industries LLC,2025-05-22,91,70.07
P0462,Pioneer Services Group,2025-06-14,92,37.57
P0463,Pioneer Dynamics Systems,2025-01-31,81,62.66
P0464,Vertex Enterprises LLC,2025-06-04,6,40.0
P0465,Quantum Resources Dynamics,2025-04-21,89,67.72
P0466,Terra Systems LLC,2024-08-07,39,41.52
P0467,Eclipse Holdings Resources,2024-12-28,43,70.19
P0468,Eclipse Power Group,2024-06-28,67,35.89
P0469,Momentum Solutions Co.,2025-02-15,92,62.56
P0470,Eclipse Services Corp.,2025-05-12,37,96.73
P0471,Vertex Concepts Holdings,2024-12-06,61,36.96
P0472,Pioneer Volt Enterprises,2024-11-29,69,71.03
P0473,Summit Resources Systems,2024-06-21,49,72.67
P0474,Horizon Industries Co.,2025-06-06,38,48.02
P0475,Zenith Capacitors LLC,2024-11-08,82,70.98
P0476,Catalyst Grid Technologies,2024-09-28,26,79.64
P0477,Eco Technologies Discoveries,2025-01-19,28,57.52
P0478,Sunrise Wave Resources,2025-05-06,29,78.21
P0479,Vertex Resources Inc.,2025-04-04,91,43.05
P0480,Terra Current Dynamics,2024-06-27,96,45.25
P0481,Nova Dynamics Discoveries,2025-02-10,17,39.53
P0482,Lumina Dynamics Ventures,2025-01-19,11,69.82
P0483,Nova Flux Group,2025-02-25,10,32.21
P0484,Vanguard Power International,2025-01-18,90,35.96
P0485,Fusion Solutions Innovations,2025-02-09,2,93.69
